Name,Link,Short Description,Programming Language,List of tags
force-pr,https://github.com/github/force-pr,Basic webserver that responds to webhooks with success,Ruby,No tags provided
puppetlabs-puppetdb,https://github.com/github/puppetlabs-puppetdb,Centralized Puppet Storage,Clojure,No tags provided
libgit2sharp,https://github.com/github/libgit2sharp,Git + .Net/Mono = ❤,C#,No tags provided
facter,https://github.com/github/facter,Collect and display system facts,Ruby,No tags provided
hr-opensource,https://github.com/github/hr-opensource,An open forum for anyone to discuss HR related topics & ideas,Not given,No tags provided
kestrel,https://github.com/github/kestrel,"simple, distributed message queue system (inactive)",Scala,No tags provided
brakeman,https://github.com/github/brakeman,A static analysis security vulnerability scanner for Ruby on Rails applications,Ruby,No tags provided
winbootstrap,https://github.com/github/winbootstrap,No short description given,PowerShell,No tags provided
Rebel,https://github.com/github/Rebel,Cocoa framework for improving AppKit,Objective-C,No tags provided
html-pipeline,https://github.com/github/html-pipeline,HTML processing filters and utilities,Ruby,No tags provided
lua-nginx-module,https://github.com/github/lua-nginx-module,Embed the Power of Lua into NGINX HTTP servers,C,No tags provided
guard,https://github.com/github/guard,Guard is a command line tool to easily handle events on file system modifications.,Ruby,No tags provided
evenflow,https://github.com/github/evenflow,sFlow to Graphite bridge,Ruby,No tags provided
azure-quickstart-templates,https://github.com/github/azure-quickstart-templates,Azure Quickstart Templates,Shell,No tags provided
swordfish,https://github.com/github/swordfish,EXPERIMENTAL password management app. Don't use this.,Ruby,No tags provided
Archimedes,https://github.com/github/Archimedes,Geometry functions for Cocoa and Cocoa Touch,Objective-C,No tags provided
kano-desktop,https://github.com/github/kano-desktop,No short description given,Shell,No tags provided
octo-recipes,https://github.com/github/octo-recipes,A GitHub repository used to collaborate on recipes,Not given,No tags provided
pong,https://github.com/github/pong,Auxiliary repository for external ping checks,Not given,No tags provided
puppetlabs-puppet,https://github.com/github/puppetlabs-puppet,Server automation framework and application,Ruby,No tags provided
zero_push,https://github.com/github/zero_push,Ruby wrapper for the ZeroPush API,Ruby,No tags provided
twui,https://github.com/github/twui,A framework for developing interfaces on the Mac.,Objective-C,No tags provided
rubycas-server,https://github.com/github/rubycas-server,"Provides single sign-on authentication for web applications, implementing the server-end of Jasig's CAS protocol.",Ruby,No tags provided
posix-spawn,https://github.com/github/posix-spawn,Fast Process::spawn for Rubys >= 1.8.7 based on the posix_spawn() system interfaces,Ruby,No tags provided
jquery-relatize_date,https://github.com/github/jquery-relatize_date,jQuery version of technoweenie's relative date js library.,JavaScript,No tags provided
learn.github.com,https://github.com/github/learn.github.com,The discovery gate for all things educational for Git and GitHub.,CSS,No tags provided
media,https://github.com/github/media,Media files for use in your GitHub integration projects,Not given,No tags provided
node-statsd,https://github.com/github/node-statsd,node.js client for Etsy'd StatsD server,JavaScript,No tags provided
puppet-aptmirror,https://github.com/github/puppet-aptmirror,Mirror of Puppet's APT repo,Ruby,No tags provided
taps,https://github.com/github/taps,simple database import/export app,Ruby,No tags provided
ruby-thecodeshop,https://github.com/github/ruby-thecodeshop,The Ruby Programming Language,Ruby,No tags provided
ssziparchive,https://github.com/github/ssziparchive,Utility class for zipping and unzipping files on iOS and Mac,C,No tags provided
upload,https://github.com/github/upload,Script to upload files to non-repo storage from the command line,Ruby,No tags provided
rack-statsd,https://github.com/github/rack-statsd,monitor your rack apps in production,Ruby,No tags provided
enterprise-ohai,https://github.com/github/enterprise-ohai,Ohai plugins from GitHub Enterprise,Ruby,No tags provided
pagerduty-incident-webhooks,https://github.com/github/pagerduty-incident-webhooks,Heroku app that fires webhooks for triggered PagerDuty incidents,Ruby,No tags provided
RepoRepairTool,https://github.com/github/RepoRepairTool,Repairs common Windows repository problems with encodings or line endings,C#,No tags provided
ghterm,https://github.com/github/ghterm,github terminal,JavaScript,No tags provided
safegem,https://github.com/github/safegem,GitHub's safe gem eval web service,Ruby,No tags provided
request_timer,https://github.com/github/request_timer,Simple Rails request timer with even simpler js bookmarklet.,Ruby,No tags provided
gem-builder,https://github.com/github/gem-builder,The scripts used to build RubyGems on GitHub,Ruby,No tags provided
will_paginate_with_hotkeys,https://github.com/github/will_paginate_with_hotkeys,Evil twin plugin version of will_paginate to work with jQuery hotkeys plugin.,Ruby,No tags provided
jquery-hotkeys,https://github.com/github/jquery-hotkeys,jQuery hotkeys plugin.,JavaScript,No tags provided
yard-sinatra,https://github.com/github/yard-sinatra,Display sinatra routes in yard documentation.,Ruby,No tags provided
fog,https://github.com/github/fog,The Ruby cloud services library.,Ruby,No tags provided
AFNetworking,https://github.com/github/AFNetworking,A delightful iOS and OS X networking framework,Objective-C,No tags provided
ledbetter,https://github.com/github/ledbetter,Script that scrapes alert statistics from Nagios and reports them to Graphite,Ruby,No tags provided
SharpDevelop,https://github.com/github/SharpDevelop,#develop (short for SharpDevelop) is a free IDE for .NET programming languages.,C#,No tags provided
dat-science,https://github.com/github/dat-science,Replaced by https://github.com/github/scientist,Ruby,No tags provided
Quick,https://github.com/github/Quick,A behavior-driven development test framework for Swift and Objective-C.,Swift,No tags provided
expecta,https://github.com/github/expecta,A Matcher Framework for Objective-C/Cocoa,Objective-C,No tags provided
Nimble,https://github.com/github/Nimble,A Matcher Framework for Swift and Objective-C,Swift,No tags provided
OHHTTPStubs,https://github.com/github/OHHTTPStubs,A class to stub network requests easily: test your apps with fake network data (stubbed from file) and custom response time,Objective-C,No tags provided
grocer,https://github.com/github/grocer,Pushing your Apple notifications since 2012.,Ruby,No tags provided
aptly,https://github.com/github/aptly,aptly - Debian repository management tool,Go,No tags provided
railsless-deploy,https://github.com/github/railsless-deploy,"Obsolete, see http://www.capistranorb.com/ for new Capistrano with no Railsisms!",Ruby,No tags provided
circuitbreaker,https://github.com/github/circuitbreaker,Circuit Breakers in Go,Go,No tags provided
nagioseasier-module,https://github.com/github/nagioseasier-module,"Make nagios easier to use, because you deserve it.",C,No tags provided
GHKeyBrowser,https://github.com/github/GHKeyBrowser,GitHub Key Verification Helper,C++,No tags provided
garethr-docker,https://github.com/github/garethr-docker,Puppet module for managing docker,Ruby,No tags provided
STUtils,https://github.com/github/STUtils,No short description given,Objective-C,No tags provided
veewee,https://github.com/github/veewee,Easing the building of vagrant boxes,Shell,No tags provided
dat-analysis,https://github.com/github/dat-analysis,Analyze results from dat-science.,Ruby,No tags provided
nagios-plugins-github,https://github.com/github/nagios-plugins-github,No short description given,C,No tags provided
specta,https://github.com/github/specta,A light-weight TDD / BDD framework for Objective-C & Cocoa,Objective-C,No tags provided
grit,https://github.com/github/grit,Grit gives you object oriented read/write access to Git repositories via Ruby.,Ruby,No tags provided
